RND,RLP,LUM,FAR,UCI,PFC,MISMATCH
0,0.3,0.381153034,1,0.021739902,0.36130294,0.058913727
0,0.011021673,0.373278276,1,0.015265917,0.209216716,0.024142312
0.01822572,0,0.372021223,1,3.953419806,0.412674859,0.025084
0.01782774,0,0.364408152,1,18.6964258,0.331051953,-0.524476899
0.014342828,0.011599005,0.336722433,1,18.82035839,0.333945784,-0.300187256
0.013011325,0.29847406,0.3289899,1,31.32613592,0.388238104,-0.162824286
0.013800054,0.002695919,0.321584082,1,29.74288097,0.472062437,-0.0855398
0.010567401,0.181272099,0.316734492,1,25.2569711,0.344255427,-0.257261719
0.01872698,0.01212262,0.314276099,1,33.24936466,0.496543217,-0.643021779
0.016272307,0,0.302400977,1,0.544905154,0.504285967,0.1255176
0.018399716,0,0.291324906,1,0.001553159,0.37469333,-0.174339487
0.008912281,0.024397361,0.286116242,0.997460403,17.42102863,0.622630095,0.15118767
0.01731371,0.029162445,0.283462601,1,7.980150279,0.558657449,0.131148769
0.007076764,0,0.281841909,0.998210496,11.62395476,0.511384081,0.150278008
0.012739455,0.016982138,0.279351343,1,19.74549252,0.458874673,-0.134277653
0.010826583,0.062643125,0.269588762,1,42.12215975,0.542991213,-0.306476226
0.007738834,0.31395315,0.267255005,0.582050453,33.34752966,0.809806806,0.07833741
0.004422362,0,0.266203971,0.80754059,5.065825145,0.43687156,0.136324291
0.009262126,0.378584652,0.263881538,0.99824855,31.75473771,0.552212302,-0.167726206
0.014012039,0,0.257316169,0.979975137,32.06856693,0.59547316,0.084277547
0.006704843,0.405856988,0.256367779,0.891088407,17.55194417,0.728430035,0.102195562
0.008068845,0.427768751,0.254478854,0.78992081,88.74917566,0.804085375,-0.127369818
0.00945393,0.022515299,0.254116516,0.999162155,26.9173016,0.425268956,-0.129211499
0.021725351,0.31373482,0.25402299,0.994932352,5.390364375,0.392500137,0.16678458
0.012415741,0.335052155,0.249580696,0.97284763,38.22570186,0.536368633,-0.074496394
0.011913112,0.005212849,0.248673447,1,45.10819656,0.59729899,-0.045010575
0.016104394,0.256363374,0.246318943,0.834534175,33.5234726,0.539382924,-0.146540641
0.010417096,0.025071634,0.245105858,1,41.48021114,0.632155629,-0.061945545
0.010326368,0.053577843,0.244158154,1,10.21267787,0.653518943,0.183473846
0.01228779,0.132695225,0.23900048,1,35.66889393,0.520209936,-0.08720109
0.015665909,0.084053,0.23894874,1,25.63302787,0.495698483,-0.161692461
0.015157843,0.007215012,0.22743108,0.312680065,27.43738489,0.577024877,0.08711719
0.006407837,0.038799884,0.22714962,0.959597279,26.80844547,0.605556741,0.212079702
0.008275216,0,0.224866568,0.315834477,5.500577511,0.564036765,0.253190005
0.008110069,0.225211358,0.223433478,1,41.57029378,0.552128504,-0.137312871
0.008539722,0.35653868,0.221163079,1,29.31389933,0.459527476,-0.054964608
0.00711484,0.187670422,0.219298063,1,12.89786821,0.407600143,0.097990572
0.008881379,0.11105139,0.219113932,0.684507217,38.56964781,0.779249679,0.055478976
0.010372774,0.047372784,0.21295864,0.999998548,55.18662045,0.575540831,-0.28416204
0.013598551,0.173083555,0.210981684,1,28.09025402,0.499287912,-0.030957167
0.008458079,0.35569415,0.209100454,1,45.30535766,0.605654627,0.013931312
0.007575432,0.259707673,0.203936028,0.86645831,55.16410942,0.748971353,0.007437865
0.009400989,0.133764635,0.200855089,1,28.21033758,0.584265555,-0.02904354
0.010652121,0.212706651,0.186270222,0.989079174,44.64197846,0.840921974,-0.116693346
0.018187774,0.167934678,0.185471467,0.611915948,42.52428447,0.844417472,0.014523929
0.012746496,0.05043744,0.18501878,1,12.90667635,0.607703284,0.234882083
0.006012676,0.461385186,0.184158421,0.831936676,79.98221927,0.662901405,-0.010981295
0.009316326,0.299557294,0.180401146,0.528387681,78.95610506,0.743566453,-0.052472459
0.011941037,0.422877505,0.180302639,0.771786453,32.4168643,0.567900863,0.036593504
0.008153686,0.116119211,0.180015458,0.960896598,90.64043729,0.757972188,-0.01307635
0.013535629,0.015521034,0.177407276,0.980732439,33.12935861,0.769152681,0.047134395
0.009717114,0.178355906,0.176887283,0.966181573,61.74860376,0.763774412,0.041545561
0.00944597,0,0.1763627,0.361680072,29.37888144,0.603892245,0.110975416
0.007445884,0.349755781,0.174426102,0.942017261,66.31713264,0.705734349,0.00860596
0.00560525,0.259206028,0.173029081,0.481343256,55.23199178,0.824588609,0.104252101
0.006966254,0.284378415,0.171884513,0.392492263,45.43474343,0.721343221,0.163706833
1.45E-09,0.142802888,0.168874678,1,38.764311,0.659123696,0.114864541
0.008975541,0.395204056,0.167920592,0.664175426,34.10238885,0.662045741,0.070068983
0.011740483,0.105636469,0.167394763,0.908927924,18.77178605,0.567155127,0.140859579
0.010008289,0.100196492,0.166995179,0.813515867,41.51041392,0.811736229,0.060281362
0.026892414,0.255195527,0.166858643,0.784186371,8.08333934,0.475746794,0.215816543
0.012055539,0.061830463,0.161785992,0.98241873,17.52585686,0.698337084,0.099794172
0.005413304,0.083630592,0.157538598,1,8.146553454,0.451017475,0.171009455
0.010282714,0.017773986,0.156635655,1,14.29720247,0.856719645,0.175684886
0.007010481,0.222435453,0.155816014,0.793737736,33.77560209,0.566303649,0.066895063
0.008342301,0.145427417,0.155635846,0.71754808,70.59640367,0.641609515,0.013020605
0.014490591,0.078174111,0.154509103,0.974218244,82.54332133,0.799611742,-0.190630959
0.012635803,0.218732953,0.154079442,0.817737088,32.60425646,0.820228664,0.05608964
0.024307579,0.053655183,0.148832442,1,13.68795051,0.575007897,0.033487218
0.014926414,0.112131924,0.145680206,0.976837219,37.63611009,0.77710326,0.05070207
0.008043606,0.202069078,0.14562184,0.857605761,31.88005891,0.649216566,0.182252566
0.00851763,0.319276694,0.143535059,0.999142205,70.22977369,0.669151587,0.174926472
0.011227056,0.360347574,0.142870968,0.999976109,47.78092182,0.754736308,0.126306271
0.018181459,0.091637554,0.139556071,0.965769691,48.4107978,0.629290274,-0.073141961
0.017517776,0.161074838,0.137426947,0.952067307,27.48657643,0.686925722,0.132619866
0.018696887,0.304021396,0.136779041,0.235067792,22.77017448,0.581050329,0.072098469
0.007562708,0.345089188,0.132088715,0.182564849,70.87464206,0.768616754,0.25466356
0.005201651,0.180144146,0.131315727,0.623665055,75.07385702,0.69432108,0.296725866
0.008799442,0.148152937,0.127911837,0.85136653,124.1130675,0.668302059,-0.133064301
0,0.410577472,0.124343815,0,0.009461036,0.286129398,-0.17565524
0.004536209,0,0.1232639,1,1.765586751,0.659351743,0.337144411
0.008281321,0.302157328,0.120261239,0.968299806,5.249756819,0.492924586,0.167639743
